prodi_id;prodi_deskripsi
1;DOKTOR TEKNIK INDUSTRI
2;PROFESI DOKTER
3;ARKEOLOGI
4;DOKTOR TEKNOLOGI INDUSTRI PERTANIAN
5;MAGISTER TEKNOLOGI INFORMASI
6;DOKTOR ILMU POLITIK
7;DOKTOR ILMU TEKNIK PERTANIAN
8;SASTRA ARAB
9;PROGRAM PROFESI INSINYUR
10;MAGISTER LINGUISTIK
11;DOKTOR TEKNIK KIMIA
12;DOKTOR KAJIAN PARIWISATA
13;MAGISTER FITOPATOLOGI
14;MAGISTER ILMU DAN TEKNOLOGI PANGAN
15;MAGISTER SAINS AKUNTANSI
16;TEKNIK ELEKTRO
17;TEKNIK GEODESI
18;HUKUM
19;TEKNOLOGI REKAYASA PELAKSANAAN BANGUNAN SIPIL
20;TEKNOLOGI LISTRIK
21;PENYULUHAN DAN KOMUNIKASI PERTANIAN
22;MAGISTER TEKNIK INDUSTRI
23;PROFESI DOKTER GIGI
24;REKAM MEDIS DAN INFORMASI KESEHATAN
25;MAGISTER BIOTEKNOLOGI
26;ANESTESIOLOGI DAN TERAPI INTENSIF
27;ILMU BEDAH
28;MAGISTER ARKEOLOGI
29;MAGISTER AGAMA DAN LINTAS BUDAYA
30;MAGISTER FARMASI KLINIK
31;BAHASA INGGRIS
32;PENGELOLAAN ARSIP DAN REKAMAN INFORMASI
33;TEKNOLOGI REKAYASA MESIN
34;ILMU KOMPUTER
35;BAHASA JEPANG
36;TEKNOLOGI INDUSTRI PERTANIAN
37;KIMIA
38;MAGISTER ILMU KEDOKTERAN GIGI KLINIS
39;KOMPUTER DAN SISTEM INFORMASI
40;BAHASA KOREA
41;DOKTOR ILMU LINGKUNGAN
42;MAGISTER ILMU ADMINISTRASI PUBLIK
43;MAGISTER KIMIA
44;DERMATOLOGI DAN VENEREOLOGI
45;MAGISTER ILMU FARMASI
46;ILMU PENYAKIT DALAM
47;BEDAH ANAK
48;MAGISTER ILMU HAMA TANAMAN
49;MAGISTER PSIKOLOGI PROFESI
50;TEKNIK GEOMATIKA
51;OBSTETRI DAN GINEKOLOGI
52;DOKTOR ILMU KEDOKTERAN DAN KESEHATAN
53;DOKTOR TEKNIK GEOMATIKA
54;MAGISTER ILMU PENDIDIKAN KEDOKTERAN DAN KESEHATAN
55;KARTOGRAFI DAN PENGINDERAAN JAUH
56;DOKTOR SAIN VETERINER
57;TEKNOLOGI INFORMASI
58;MIKROBIOLOGI KLINIK
59;MAGISTER TEKNIK ELEKTRO
60;MAGISTER ILMU KOMUNIKASI
61;DOKTOR MANAJEMEN DAN KEBIJAKAN PUBLIK
62;DOKTOR ILMU KETAHANAN NASIONAL
63;MAGISTER KAJIAN BUDAYA TIMUR TENGAH
64;MAGISTER ILMU KEDOKTERAN KLINIS
65;BAHASA MANDARIN
66;KEHUTANAN (BUDIDAYA HUTAN)
67;SASTRA INGGRIS
68;MAGISTER TEKNIK SIPIL
69;MAGISTER ANTROPOLOGI
70;EKONOMI PERTANIAN DAN AGRIBISNIS
71;MAGISTER KEPEMIMPINAN DAN INOVASI KEBIJAKAN (MAGISTER STUDI KEBIJAKAN)
72;ILMU EKONOMI
73;DOKTOR BIOLOGI
74;TEKNIK NUKLIR
75;MAGISTER TEKNIK KIMIA
76;TEKNIK PENGELOLAAN DAN PEMELIHARAAN INFRASTRUKTUR SIPIL
77;MAGISTER ILMU PERIKANAN
78;METROLOGI DAN INSTRUMENTASI
79;BIOLOGI
80;MANAJEMEN DAN KEBIJAKAN PUBLIK
81;DOKTOR ILMU PETERNAKAN
82;MAGISTER SAINS MANAJEMEN
83;MAGISTER ILMU KEHUTANAN
84;PROTEKSI TANAMAN
85;ILMU BEDAH
86;AGROINDUSTRI
87;BAHASA DAN SASTRA INDONESIA
88;PERPUSTAKAAN
89;ILMU KOMUNIKASI
90;GEOFISIKA
91;MAGISTER KAJIAN PARIWISATA
92;KEBIDANAN
93;DOKTOR KIMIA
94;MATEMATIKA
95;STATISTIKA
96;DOKTOR ILMU PANGAN
97;DOKTOR ILMU GEOGRAFI
98;TEKNIK MESIN
99;MAGISTER AKUNTANSI
100;ILMU KESEHATAN ANAK
101;MAGISTER SOSIOLOGI
102;ELEKTRONIKA DAN INSTRUMENTASI
103;MAGISTER ILMU TANAH
104;FISIKA
105;MAGISTER ILMU LINGKUNGAN
106;MAGISTER MANAJEMEN (KAMPUS JAKARTA)
107;MAGISTER TEKNIK SISTEM
108;MAGISTER TEKNOLOGI HASIL PERKEBUNAN
109;PARIWISATA
110;ILMU KEBIDANAN
111;KONSERVASI GIGI
112;AKUNTANSI
113;ILMU KESEHATAN KERJA
114;MAGISTER RANCANG KOTA
115;MAGISTER BIOETIKA
116;ANTROPOLOGI BUDAYA
117;TEKNIK MESIN
118;MAGISTER KENOTARIATAN
119;MAGISTER SISTEM DAN TEKNIK TRANSPORTASI
120;DOKTOR TEKNIK SIPIL
121;MANAJEMEN
122;KESEHATAN HEWAN
123;TEKNOLOGI PANGAN DAN HASIL PERTANIAN
124;PROSTODONSIA
125;ILMU KEPERAWATAN
126;MAGISTER KEBIJAKAN DAN MANAJEMEN KESEHATAN
127;PENDIDIKAN PROFESI DIETISIEN
128;ILMU AKTUARIA
129;MANAJEMEN INFORMASI KESEHATAN
130;PENGEMBANGAN PRODUK AGROINDUSTRI
131;TEKNOLOGI REKAYASA INSTRUMENTASI DAN KONTROL
132;TEKNOLOGI REKAYASA PERANGKAT LUNAK
133;MAGISTER PEMBANGUNAN SOSIAL DAN KESEJAHTERAAN
134;TEKNOLOGI SURVEI DAN PEMETAAN DASAR
135;KEHUTANAN
136;PROFESI AKUNTAN
137;KEDOKTERAN GIGI ANAK
138;PENGELOLAAN HUTAN
139;DOKTOR ILMU KEHUTANAN
140;FILSAFAT
141;PROFESI NERS
142;GEOGRAFI
143;SASTRA JEPANG
144;DOKTOR SOSIOLOGI
145;KEDOKTERAN
146;DOKTOR PENGKAJIAN AMERIKA
147;RADIOLOGI
148;BEDAH MULUT DAN MAKSILOFASIAL
149;DOKTOR PEMBANGUNAN SOSIAL DAN KESEJAHTERAAN
150;MAGISTER MANAJEMEN AGRIBISNIS
151;MAGISTER ILMU KOMPUTER
152;MAGISTER TEKNIK PENGELOLAAN BENCANA ALAM
153;TEKNIK BIOMEDIS
154;AKUNTANSI SEKTOR PUBLIK
155;MAGISTER MANAJEMEN FARMASI
156;MANAJEMEN DAN PENILAIAN PROPERTI
157;TEKNOLOGI VETERINER
158;PENGELOLAAN HUTAN
159;ILMU PENYAKIT DALAM
160;OBSTETRI DAN GINEKOLOGI
161;PATOLOGI KLINIK
162;MAGISTER ILMU HUKUM
163;SASTRA PRANCIS
164;TEKNIK SIPIL
165;MAGISTER MANAJEMEN DAN KEBIJAKAN PUBLIK
166;TEKNOLOGI REKAYASA INTERNET
167;TEKNOLOGI INSTRUMENTASI
168;MAGISTER PENGINDERAAN JAUH
169;TEKNIK GEOLOGI
170;BAHASA INGGRIS
171;MAGISTER TEKNIK GEOMATIKA
172;ILMU KESEHATAN TELINGA HIDUNG TENGGOROK BEDAH KEPALA DAN LEHER
173;PROFESI INSINYUR PETERNAKAN
174;KEHUTANAN (TEK HASIL HUTAN)
175;MAGISTER HUKUM KESEHATAN
176;SISTEM INFORMASI GEOGRAFIS
177;DOKTOR ILMU KOMUNIKASI
178;ILMU KESEHATAN ANAK
179;MAGISTER GEOGRAFI
180;MAGISTER PENGKAJIAN SENI PERTUNJUKAN DAN SENI RUPA
181;MAGISTER KEPENDUDUKAN
182;ILMU HUBUNGAN INTERNASIONAL
183;KEHUTANAN (KONSERVASI SD HUTAN)
184;MAGISTER KECERDASAN ARTIFISIAL
185;MAGISTER TEKNIK PENGENDALIAN PENCEMARAN INDUSTRIAL
186;DOKTOR TEKNIK GEOLOGI
187;DOKTOR KEPEMIMPINAN DAN INOVASI KEBIJAKAN (DOKTOR STUDI KEBIJAKAN)
188;MAGISTER POLITIK DAN PEMERINTAHAN
189;DOKTOR ILMU EKONOMI
190;ORTHOPAEDIK DAN TRAUMATOLOGI
