pegawai_id;pegawai_nama;pegawai_pendidikan;jabatan_nama;perwakilan;usia;tgl_masuk;tgl_keluar;;;
1;Pegawai 0;S2;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Gorontalo;52;23/04/2021;-;;;
2;Pegawai 1;S2;Pemeriksa Pertama;BPK Perwakilan Provinsi Kalimantan Barat;32;10/01/2021;-;;;
3;Pegawai 2;S2;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Sulawesi Selatan;49;23/07/2022;-;;;
4;Pegawai 3;S2;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Jambi;40;12/01/2022;-;;;#DIV/0!
5;Pegawai 4;S2;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Bali;42;13/09/2018;13/09/2022;;;
6;Pegawai 5;D4;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Sulawesi Selatan;30;31/05/2019;-;;;
7;Pegawai 6;D4;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Kalimantan Barat;31;13/11/2020;-;;;
8;Pegawai 7;S1;Pemeriksa Utama;BPK Perwakilan Provinsi Jawa Tengah;53;24/01/2019;-;;;
9;Pegawai 8;D4;Pemeriksa Utama;BPK Perwakilan Provinsi Jawa Tengah;35;04/08/2021;-;;;
10;Pegawai 9;S2;Pranata Komputer Muda ;BPK Perwakilan Provinsi Maluku;58;29/08/2020;-;;;
11;Pegawai 10;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Jawa Timur;46;23/04/2019;-;;;
12;Pegawai 11;S2;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Papua Barat;31;21/10/2018;21/10/2022;;;
13;Pegawai 12;S1;Pranata Komputer Muda ;BPK Perwakilan Provinsi Sulawesi Tenggara;58;01/04/2022;-;;;
14;Pegawai 13;S1;Pemeriksa Utama;BPK Perwakilan Provinsi Sumatera Selatan;46;05/05/2021;-;;;
15;Pegawai 14;S2;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Aceh;31;09/11/2021;-;;;
16;Pegawai 15;D4;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Nusa Tenggara Timur;54;05/12/2020;-;;;
17;Pegawai 16;S1;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Kalimantan Utara;44;12/04/2020;-;;;
18;Pegawai 17;S1;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Gorontalo;24;01/05/2021;-;;;
19;Pegawai 18;D4;Pemeriksa Muda;BPK Perwakilan Provinsi Sulawesi Barat;38;21/04/2019;-;;;
20;Pegawai 19;D4;Pemeriksa Muda;BPK Perwakilan Provinsi Nusa Tenggara Barat;39;24/05/2021;-;;;
21;Pegawai 20;D4;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Sulawesi Utara;32;07/12/2019;-;;;
22;Pegawai 21;D4;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Bengkulu;34;02/05/2018;02/05/2022;;;
23;Pegawai 22;S2;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Sulawesi Tenggara;26;04/09/2021;-;;;
24;Pegawai 23;S2;Pemeriksa Madya;BPK Perwakilan Provinsi Bengkulu;39;27/05/2020;-;;;
25;Pegawai 24;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Kalimantan Utara;26;12/05/2021;-;;;
26;Pegawai 25;S2;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Sulawesi Tenggara;57;06/06/2020;-;;;
27;Pegawai 26;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Papua;43;06/03/2021;-;;;
28;Pegawai 27;S2;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Sumatera Selatan;42;15/04/2021;-;;;
29;Pegawai 28;S1;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Nusa Tenggara Barat;23;02/06/2019;-;;;
30;Pegawai 29;D4;Pemeriksa Muda;BPK Perwakilan Provinsi Nusa Tenggara Timur;40;06/09/2018;06/09/2022;;;
31;Pegawai 30;D4;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Sumatera Utara;35;16/12/2021;-;;;
32;Pegawai 31;D4;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Kalimantan Tengah;50;10/10/2019;-;;;
33;Pegawai 32;D4;Pemeriksa Utama;BPK Perwakilan Provinsi Sulawesi Tengah;35;26/11/2021;-;;;
34;Pegawai 33;D4;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi DI Yogyakarta;27;15/11/2019;-;;;
35;Pegawai 34;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Sulawesi Barat;31;12/10/2018;12/10/2022;;;
36;Pegawai 35;S1;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Sumatera Selatan;45;28/05/2018;28/05/2022;;;
37;Pegawai 36;D4;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Maluku;31;29/03/2018;29/03/2022;;;
38;Pegawai 37;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Jawa Tengah;39;02/05/2018;02/05/2022;;;
39;Pegawai 38;S2;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Sulawesi Tengah;36;18/01/2021;-;;;
40;Pegawai 39;D4;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Maluku Utara;54;01/05/2020;-;;;
41;Pegawai 40;D4;Arsiparis Muda ;BPK Perwakilan Provinsi Kalimantan Selatan;41;30/01/2020;-;;;
42;Pegawai 41;D4;Pranata Komputer Muda ;BPK Perwakilan Provinsi Jawa Barat;37;28/03/2019;-;;;
43;Pegawai 42;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Kalimantan Barat;52;17/05/2018;17/05/2022;;;
44;Pegawai 43;D4;Pranata Komputer Muda ;BPK Perwakilan Provinsi Papua Barat;53;01/03/2021;-;;;
45;Pegawai 44;S1;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Sumatera Selatan;53;24/09/2020;-;;;
46;Pegawai 45;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Jawa Timur;31;09/09/2019;-;;;
47;Pegawai 46;S1;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Maluku Utara;50;19/04/2020;-;;;
48;Pegawai 47;D4;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Nusa Tenggara Timur;44;25/08/2019;-;;;
49;Pegawai 48;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Jawa Barat;57;31/10/2020;-;;;
50;Pegawai 49;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Sulawesi Barat;54;14/02/2021;-;;;
51;Pegawai 50;S1;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Kalimantan Utara;43;28/11/2021;-;;;
52;Pegawai 51;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Papua Barat;23;12/03/2018;12/03/2022;;;
53;Pegawai 52;S2;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Kalimantan Timur;39;30/11/2021;-;;;
54;Pegawai 53;S2;Pemeriksa Muda;BPK Perwakilan Provinsi Bali;42;14/09/2018;14/09/2022;;;
55;Pegawai 54;S2;Pranata Komputer Muda ;BPK Perwakilan Provinsi DKI Jakarta;47;29/09/2020;-;;;
56;Pegawai 55;D4;Pemeriksa Muda;BPK Perwakilan Provinsi Kalimantan Barat;54;05/06/2019;-;;;
57;Pegawai 56;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi DI Yogyakarta;51;29/09/2020;-;;;
58;Pegawai 57;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Bali;36;16/10/2019;-;;;
59;Pegawai 58;S1;Arsiparis Muda ;BPK Perwakilan Provinsi DKI Jakarta;40;20/09/2021;-;;;
60;Pegawai 59;S1;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Aceh;26;24/05/2022;-;;;
61;Pegawai 60;S1;Pranata Komputer Muda ;BPK Perwakilan Provinsi Kalimantan Tengah;28;14/02/2020;-;;;
62;Pegawai 61;S1;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Jambi;48;16/09/2018;16/09/2022;;;
63;Pegawai 62;S2;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Kepulauan Riau;29;02/07/2018;02/07/2022;;;
64;Pegawai 63;S2;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Kalimantan Utara;37;23/02/2019;-;;;
65;Pegawai 64;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Sumatera Barat;38;06/07/2020;-;;;
66;Pegawai 65;S2;Pemeriksa Pertama;BPK Perwakilan Provinsi Sulawesi Tenggara;47;03/10/2020;-;;;
67;Pegawai 66;S2;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Sumatera Utara;57;08/02/2018;08/02/2022;;;
68;Pegawai 67;S2;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Sumatera Utara;36;11/07/2018;11/07/2022;;;
69;Pegawai 68;S1;Pemeriksa Utama;BPK Perwakilan Provinsi Kepulauan Riau;34;18/04/2020;-;;;
70;Pegawai 69;D4;Pemeriksa Utama;BPK Perwakilan Provinsi Banten;57;01/07/2022;-;;;
71;Pegawai 70;S2;Pemeriksa Utama;BPK Perwakilan Provinsi Kalimantan Barat;29;03/04/2021;-;;;
72;Pegawai 71;D4;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Maluku;29;04/04/2021;-;;;
73;Pegawai 72;S1;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Aceh;26;15/04/2018;15/04/2022;;;
74;Pegawai 73;S1;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Papua Barat;54;14/02/2019;-;;;
75;Pegawai 74;S2;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Aceh;49;30/10/2021;-;;;
76;Pegawai 75;S2;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Sulawesi Utara;56;27/03/2021;-;;;
77;Pegawai 76;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Sulawesi Utara;46;02/08/2018;02/08/2022;;;
78;Pegawai 77;S2;Pemeriksa Madya;BPK Perwakilan Provinsi Sulawesi Tengah;56;23/04/2022;-;;;
79;Pegawai 78;D4;Pranata Komputer Muda ;BPK Perwakilan Provinsi Sulawesi Utara;38;23/11/2019;-;;;
80;Pegawai 79;S1;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi DI Yogyakarta;41;10/01/2019;-;;;
81;Pegawai 80;S1;Pemeriksa Pertama;BPK Perwakilan Provinsi Bali;43;23/04/2018;23/04/2022;;;
82;Pegawai 81;S1;Pranata Komputer Muda ;BPK Perwakilan Provinsi Kalimantan Utara;26;08/04/2020;-;;;
83;Pegawai 82;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Lampung;58;04/04/2018;04/04/2022;;;
84;Pegawai 83;S1;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Sulawesi Barat;28;26/12/2020;-;;;
85;Pegawai 84;S2;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi DKI Jakarta;26;29/07/2022;-;;;
86;Pegawai 85;S1;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Kalimantan Barat;50;28/07/2019;-;;;
87;Pegawai 86;D4;Arsiparis Muda ;BPK Perwakilan Provinsi Jawa Tengah;28;22/08/2021;-;;;
88;Pegawai 87;S2;Pranata Komputer Muda ;BPK Perwakilan Provinsi Kepulauan Riau;41;03/05/2020;-;;;
89;Pegawai 88;S1;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Sumatera Utara;49;29/08/2018;29/08/2022;;;
90;Pegawai 89;D4;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Papua;37;20/10/2020;-;;;
91;Pegawai 90;S1;Pranata Komputer Muda ;BPK Perwakilan Provinsi Bengkulu;38;12/09/2018;12/09/2022;;;
92;Pegawai 91;S2;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Banten;28;20/04/2019;-;;;
93;Pegawai 92;S2;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Kalimantan Timur;46;09/04/2019;-;;;
94;Pegawai 93;S2;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Banten;32;30/01/2018;30/01/2022;;;
95;Pegawai 94;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi DKI Jakarta;51;13/08/2021;-;;;
96;Pegawai 95;D4;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Kalimantan Timur;40;09/11/2019;-;;;
97;Pegawai 96;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Jawa Tengah;52;23/09/2019;-;;;
98;Pegawai 97;D4;Pemeriksa Muda;BPK Perwakilan Provinsi Jawa Timur;22;18/10/2020;-;;;
99;Pegawai 98;S1;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Kalimantan Selatan;54;09/07/2019;-;;;
100;Pegawai 99;D4;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Kalimantan Selatan;27;10/09/2021;-;;;
101;Pegawai 100;D4;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Aceh;41;31/07/2021;-;;;
102;Pegawai 101;S1;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Maluku;21;17/09/2019;-;;;
103;Pegawai 102;S1;Arsiparis Muda ;BPK Perwakilan Provinsi Sulawesi Utara;37;30/10/2018;30/10/2022;;;
104;Pegawai 103;S2;Pemeriksa Utama;BPK Perwakilan Provinsi Papua;28;14/05/2022;-;;;
105;Pegawai 104;S2;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Jawa Timur;35;19/07/2019;-;;;
106;Pegawai 105;S2;Arsiparis Muda ;BPK Perwakilan Provinsi Kalimantan Tengah;31;20/10/2019;-;;;
107;Pegawai 106;S1;Pranata Komputer Pertama ;BPK Perwakilan Provinsi DI Yogyakarta;52;18/08/2018;18/08/2022;;;
108;Pegawai 107;S2;Pemeriksa Madya;BPK Perwakilan Provinsi Bangka Belitung;30;06/10/2020;-;;;
109;Pegawai 108;D4;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Sumatera Selatan;21;19/12/2018;-;;;
110;Pegawai 109;D4;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi DI Yogyakarta;43;24/06/2019;-;;;
111;Pegawai 110;S2;Pemeriksa Pertama;BPK Perwakilan Provinsi Kalimantan Barat;54;20/11/2019;-;;;
112;Pegawai 111;S1;Pemeriksa Pertama;BPK Perwakilan Provinsi Bengkulu;29;16/02/2019;-;;;
113;Pegawai 112;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Kepulauan Riau;23;10/03/2020;-;;;
114;Pegawai 113;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Nusa Tenggara Barat;27;26/01/2019;-;;;
115;Pegawai 114;S1;Pemeriksa Pertama;BPK Perwakilan Provinsi Sumatera Barat;41;14/06/2022;-;;;
116;Pegawai 115;S2;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Bangka Belitung;57;07/11/2018;07/11/2022;;;
117;Pegawai 116;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Kepulauan Riau;33;28/04/2021;-;;;
118;Pegawai 117;S1;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Maluku Utara;24;01/06/2020;-;;;
119;Pegawai 118;S2;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Bengkulu;33;22/06/2020;-;;;
120;Pegawai 119;S1;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Sumatera Barat;32;27/07/2018;27/07/2022;;;
121;Pegawai 120;D4;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Kalimantan Utara;43;25/08/2019;-;;;
122;Pegawai 121;D4;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Nusa Tenggara Timur;39;12/02/2021;-;;;
123;Pegawai 122;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Maluku;49;08/02/2020;-;;;
124;Pegawai 123;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Nusa Tenggara Timur;56;07/11/2019;-;;;
125;Pegawai 124;D4;Pemeriksa Utama;BPK Perwakilan Provinsi Papua;25;08/11/2018;08/11/2022;;;
126;Pegawai 125;S1;Arsiparis Muda ;BPK Perwakilan Provinsi Lampung;52;05/01/2018;05/01/2022;;;
127;Pegawai 126;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Jawa Barat;42;13/10/2019;-;;;
128;Pegawai 127;S2;Pemeriksa Madya;BPK Perwakilan Provinsi Jawa Barat;49;01/11/2020;-;;;
129;Pegawai 128;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Sumatera Utara;47;30/01/2019;-;;;
130;Pegawai 129;D4;Arsiparis Muda ;BPK Perwakilan Provinsi Kalimantan Selatan;49;13/07/2019;-;;;
131;Pegawai 130;S1;Pemeriksa Utama;BPK Perwakilan Provinsi Sumatera Selatan;42;15/02/2022;-;;;
132;Pegawai 131;S2;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Jambi;38;27/06/2019;-;;;
133;Pegawai 132;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Kepulauan Riau;39;17/01/2021;-;;;
134;Pegawai 133;S2;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Nusa Tenggara Timur;40;16/11/2019;-;;;
135;Pegawai 134;D4;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Jawa Barat;54;17/02/2020;-;;;
136;Pegawai 135;D4;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Jawa Tengah;32;15/01/2020;-;;;
137;Pegawai 136;S1;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Sumatera Barat;21;13/07/2022;-;;;
138;Pegawai 137;S1;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Papua;51;02/10/2021;-;;;
139;Pegawai 138;D4;Arsiparis Muda ;BPK Perwakilan Provinsi Sulawesi Barat;23;17/09/2021;-;;;
140;Pegawai 139;S1;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Sulawesi Tenggara;29;14/12/2020;-;;;
141;Pegawai 140;S1;Pemeriksa Muda;BPK Perwakilan Provinsi Bengkulu;50;19/01/2021;-;;;
142;Pegawai 141;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Jawa Timur;37;19/06/2019;-;;;
143;Pegawai 142;S2;Arsiparis Muda ;BPK Perwakilan Provinsi Bali;48;17/09/2020;-;;;
144;Pegawai 143;S1;Pemeriksa Utama;BPK Perwakilan Provinsi Nusa Tenggara Barat;25;12/01/2020;-;;;
145;Pegawai 144;S1;Pranata Komputer Muda ;BPK Perwakilan Provinsi DI Yogyakarta;37;04/07/2021;-;;;
146;Pegawai 145;S2;Pemeriksa Pertama;BPK Perwakilan Provinsi Jawa Barat;33;20/11/2018;20/11/2022;;;
147;Pegawai 146;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Banten;45;02/01/2021;-;;;
148;Pegawai 147;S2;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Banten;48;10/12/2018;10/12/2022;;;
149;Pegawai 148;S2;Pemeriksa Muda;BPK Perwakilan Provinsi Bengkulu;42;19/09/2021;-;;;
150;Pegawai 149;S1;Arsiparis Muda ;BPK Perwakilan Provinsi Maluku Utara;25;25/06/2019;-;;;
151;Pegawai 150;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Kalimantan Barat;34;05/01/2021;-;;;
152;Pegawai 151;D4;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sumatera Utara;28;21/07/2020;-;;;
153;Pegawai 152;S2;Pemeriksa Utama;BPK Perwakilan Provinsi Bali;27;25/08/2021;-;;;
154;Pegawai 153;S1;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Kepulauan Riau;45;02/11/2018;02/11/2022;;;
155;Pegawai 154;S2;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Papua;56;30/05/2022;-;;;
156;Pegawai 155;S2;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Bengkulu;41;05/10/2018;05/10/2022;;;
157;Pegawai 156;D4;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Jambi;58;26/10/2019;-;;;
158;Pegawai 157;S1;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Maluku Utara;45;11/07/2018;11/07/2022;;;
159;Pegawai 158;S1;Pemeriksa Muda;BPK Perwakilan Provinsi Jawa Timur;22;08/06/2019;-;;;
160;Pegawai 159;S2;Pemeriksa Pertama;BPK Perwakilan Provinsi Kalimantan Tengah;34;22/03/2020;-;;;
161;Pegawai 160;S2;Pemeriksa Madya;BPK Perwakilan Provinsi Maluku Utara;32;27/04/2019;-;;;
162;Pegawai 161;D4;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Bangka Belitung;27;28/12/2020;-;;;
163;Pegawai 162;S1;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Jawa Timur;58;10/12/2019;-;;;
164;Pegawai 163;D4;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Aceh;43;29/07/2018;29/07/2022;;;
165;Pegawai 164;S1;Pranata Komputer Muda ;BPK Perwakilan Provinsi Nusa Tenggara Barat;36;18/09/2018;18/09/2022;;;
166;Pegawai 165;S2;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Nusa Tenggara Barat;56;10/02/2018;10/02/2022;;;
167;Pegawai 166;D4;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Sumatera Utara;45;05/02/2018;05/02/2022;;;
168;Pegawai 167;S2;Arsiparis Muda ;BPK Perwakilan Provinsi Sumatera Barat;27;24/05/2020;-;;;
169;Pegawai 168;S2;Pranata Komputer Muda ;BPK Perwakilan Provinsi Kalimantan Barat;48;28/02/2018;28/02/2022;;;
170;Pegawai 169;S1;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Nusa Tenggara Timur;45;02/04/2022;-;;;
171;Pegawai 170;S1;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Kalimantan Utara;33;19/04/2019;-;;;
172;Pegawai 171;S2;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi DKI Jakarta;49;18/11/2019;-;;;
173;Pegawai 172;S2;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Riau;56;01/11/2018;01/11/2022;;;
174;Pegawai 173;D4;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Sulawesi Selatan;55;14/01/2018;14/01/2022;;;
175;Pegawai 174;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Bengkulu;35;18/09/2020;-;;;
176;Pegawai 175;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Sulawesi Tenggara;23;31/07/2022;-;;;
177;Pegawai 176;S2;Pemeriksa Madya;BPK Perwakilan Provinsi Riau;32;07/07/2021;-;;;
178;Pegawai 177;D4;Pemeriksa Muda;BPK Perwakilan Provinsi DI Yogyakarta;36;05/04/2020;-;;;
179;Pegawai 178;S2;Pemeriksa Utama;BPK Perwakilan Provinsi Sumatera Barat;25;06/03/2019;-;;;
180;Pegawai 179;S2;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Sumatera Barat;40;02/08/2020;-;;;
181;Pegawai 180;S2;Pemeriksa Utama;BPK Perwakilan Provinsi DKI Jakarta;28;23/12/2018;-;;;
182;Pegawai 181;S2;Pemeriksa Madya;BPK Perwakilan Provinsi Sumatera Utara;27;14/03/2022;-;;;
183;Pegawai 182;S1;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Sulawesi Tengah;39;18/04/2021;-;;;
184;Pegawai 183;S2;Arsiparis Muda ;BPK Perwakilan Provinsi DKI Jakarta;31;31/05/2018;31/05/2022;;;
185;Pegawai 184;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Maluku Utara;38;07/05/2022;-;;;
186;Pegawai 185;S1;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Sulawesi Selatan;55;08/08/2021;-;;;
187;Pegawai 186;D4;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Jawa Tengah;51;13/06/2018;13/06/2022;;;
188;Pegawai 187;D4;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi DKI Jakarta;44;01/03/2021;-;;;
189;Pegawai 188;D4;Pemeriksa Utama;BPK Perwakilan Provinsi Sulawesi Tengah;21;15/05/2022;-;;;
190;Pegawai 189;S2;Pemeriksa Utama;BPK Perwakilan Provinsi Sulawesi Barat;40;12/05/2019;-;;;
191;Pegawai 190;S2;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Kepulauan Riau;39;26/01/2019;-;;;
192;Pegawai 191;D4;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Aceh;36;04/09/2019;-;;;
193;Pegawai 192;D4;Pemeriksa Utama;BPK Perwakilan Provinsi Nusa Tenggara Barat;57;06/03/2021;-;;;
194;Pegawai 193;D4;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Maluku;57;15/09/2019;-;;;
195;Pegawai 194;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sulawesi Utara;56;06/03/2018;06/03/2022;;;
196;Pegawai 195;D4;Arsiparis Muda ;BPK Perwakilan Provinsi Bangka Belitung;49;18/01/2020;-;;;
197;Pegawai 196;S1;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Kalimantan Tengah;50;18/03/2020;-;;;
