pegawai_bahasa_id;pegawai_nama;bahasa_nama;tahun_dari;pegawai_perwakilan
1;Pegawai 1721;English;09/05/2022;BPK Perwakilan Provinsi Sulawesi Utara
2;Pegawai 703;English;15/11/2021;BPK Perwakilan Provinsi Papua
3;Pegawai 764;English;12/09/2021;BPK Perwakilan Provinsi DKI Jakarta
4;Pegawai 897;English;21/09/2021;BPK Perwakilan Provinsi Sulawesi Selatan
5;Pegawai 1402;English;08/06/2021;BPK Perwakilan Provinsi Kalimantan Barat
6;Pegawai 897;English;21/10/2022;BPK Perwakilan Provinsi Sulawesi Selatan
7;Pegawai 521;English;07/04/2019;BPK Perwakilan Provinsi Sumatera Selatan
8;Pegawai 1617;English;09/12/2022;BPK Perwakilan Provinsi DKI Jakarta
9;Pegawai 1039;English;23/12/2020;BPK Perwakilan Provinsi DKI Jakarta
10;Pegawai 1907;English;10/12/2019;BPK Perwakilan Provinsi Maluku Utara
11;Pegawai 1072;English;28/02/2019;BPK Perwakilan Provinsi Nusa Tenggara Barat
12;Pegawai 722;English;02/04/2022;BPK Perwakilan Provinsi Kalimantan Barat
13;Pegawai 917;English;27/02/2022;BPK Perwakilan Provinsi Sumatera Selatan
14;Pegawai 304;English;04/04/2022;BPK Perwakilan Provinsi Bengkulu
15;Pegawai 1110;English;06/03/2021;BPK Perwakilan Provinsi Kalimantan Utara
16;Pegawai 200;English;26/02/2022;BPK Perwakilan Provinsi Sulawesi Tenggara
17;Pegawai 282;English;31/12/2019;BPK Perwakilan Provinsi Sumatera Selatan
18;Pegawai 1135;English;06/08/2020;BPK Perwakilan Provinsi Kepulauan Riau
19;Pegawai 1513;English;12/07/2020;BPK Perwakilan Provinsi Jawa Tengah
20;Pegawai 482;English;13/11/2022;BPK Perwakilan Provinsi Sulawesi Utara
21;Pegawai 1006;English;18/10/2022;BPK Perwakilan Provinsi Kalimantan Selatan
22;Pegawai 1659;English;25/05/2020;BPK Perwakilan Provinsi Jawa Timur
23;Pegawai 1966;English;24/06/2021;BPK Perwakilan Provinsi Nusa Tenggara Timur
24;Pegawai 1815;English;02/11/2021;BPK Perwakilan Provinsi Jawa Tengah
25;Pegawai 888;English;05/01/2022;BPK Perwakilan Provinsi Jawa Timur
26;Pegawai 214;English;03/10/2020;BPK Perwakilan Provinsi Sulawesi Barat
27;Pegawai 1385;English;22/07/2020;BPK Perwakilan Provinsi Bengkulu
28;Pegawai 714;English;26/02/2019;BPK Perwakilan Provinsi Kalimantan Tengah
29;Pegawai 146;English;09/09/2021;BPK Perwakilan Provinsi Banten
30;Pegawai 655;English;27/10/2021;BPK Perwakilan Provinsi Kalimantan Tengah
31;Pegawai 1907;English;20/08/2020;BPK Perwakilan Provinsi Maluku Utara
32;Pegawai 1936;English;02/08/2021;BPK Perwakilan Provinsi Kalimantan Tengah
33;Pegawai 872;English;31/08/2020;BPK Perwakilan Provinsi Kalimantan Selatan
34;Pegawai 1468;English;05/08/2021;BPK Perwakilan Provinsi Jawa Timur
35;Pegawai 397;English;14/08/2019;BPK Perwakilan Provinsi Nusa Tenggara Timur
36;Pegawai 1632;English;21/01/2022;BPK Perwakilan Provinsi Gorontalo
37;Pegawai 169;English;10/02/2020;BPK Perwakilan Provinsi Nusa Tenggara Timur
38;Pegawai 1035;English;02/11/2022;BPK Perwakilan Provinsi Lampung
39;Pegawai 1400;English;27/06/2019;BPK Perwakilan Provinsi Papua
40;Pegawai 450;English;29/09/2020;BPK Perwakilan Provinsi Jawa Barat
41;Pegawai 1662;English;21/12/2020;BPK Perwakilan Provinsi Sumatera Barat
42;Pegawai 322;English;09/01/2020;BPK Perwakilan Provinsi Kalimantan Barat
43;Pegawai 785;English;08/09/2019;BPK Perwakilan Provinsi Nusa Tenggara Timur
44;Pegawai 55;English;01/02/2021;BPK Perwakilan Provinsi Kalimantan Barat
45;Pegawai 368;English;01/09/2020;BPK Perwakilan Provinsi Nusa Tenggara Timur
46;Pegawai 643;English;17/08/2021;BPK Perwakilan Provinsi Sulawesi Utara
47;Pegawai 970;English;26/06/2020;BPK Perwakilan Provinsi Maluku
48;Pegawai 641;English;30/06/2022;BPK Perwakilan Provinsi Sumatera Utara
49;Pegawai 1542;English;26/08/2022;BPK Perwakilan Provinsi Kalimantan Selatan
50;Pegawai 765;English;27/02/2020;BPK Perwakilan Provinsi Bangka Belitung
51;Pegawai 1611;English;22/03/2020;BPK Perwakilan Provinsi Bengkulu
52;Pegawai 1634;English;17/11/2020;BPK Perwakilan Provinsi Nusa Tenggara Barat
53;Pegawai 275;English;30/05/2022;BPK Perwakilan Provinsi Lampung
54;Pegawai 1417;English;27/03/2022;BPK Perwakilan Provinsi DKI Jakarta
55;Pegawai 1304;English;09/02/2021;BPK Perwakilan Provinsi Sulawesi Selatan
56;Pegawai 1386;English;29/01/2020;BPK Perwakilan Provinsi Maluku
57;Pegawai 332;English;21/07/2021;BPK Perwakilan Provinsi Sulawesi Barat
58;Pegawai 1770;English;30/07/2020;BPK Perwakilan Provinsi DI Yogyakarta
59;Pegawai 1884;English;01/03/2020;BPK Perwakilan Provinsi Riau
60;Pegawai 1681;English;24/09/2022;BPK Perwakilan Provinsi Nusa Tenggara Timur
61;Pegawai 739;English;01/08/2020;BPK Perwakilan Provinsi Nusa Tenggara Timur
62;Pegawai 1746;English;09/05/2022;BPK Perwakilan Provinsi Aceh
63;Pegawai 548;English;24/12/2022;BPK Perwakilan Provinsi Sumatera Selatan
64;Pegawai 1416;English;03/08/2022;BPK Perwakilan Provinsi Sulawesi Selatan
65;Pegawai 1927;English;26/12/2021;BPK Perwakilan Provinsi Bengkulu
66;Pegawai 1783;English;21/12/2020;BPK Perwakilan Provinsi Banten
67;Pegawai 237;English;25/09/2021;BPK Perwakilan Provinsi Aceh
68;Pegawai 105;English;18/11/2022;BPK Perwakilan Provinsi Kalimantan Tengah
69;Pegawai 51;English;16/10/2020;BPK Perwakilan Provinsi Papua Barat
70;Pegawai 1998;English;09/12/2021;BPK Perwakilan Provinsi Bali
71;Pegawai 530;English;04/02/2022;BPK Perwakilan Provinsi Jawa Barat
72;Pegawai 860;English;23/06/2019;BPK Perwakilan Provinsi DKI Jakarta
73;Pegawai 605;English;05/08/2019;BPK Perwakilan Provinsi Maluku
74;Pegawai 345;English;01/04/2021;BPK Perwakilan Provinsi DI Yogyakarta
75;Pegawai 17;English;11/05/2019;BPK Perwakilan Provinsi Gorontalo
76;Pegawai 1970;English;09/01/2020;BPK Perwakilan Provinsi Jawa Barat
77;Pegawai 1840;English;13/04/2020;BPK Perwakilan Provinsi Kepulauan Riau
78;Pegawai 1675;English;21/11/2021;BPK Perwakilan Provinsi Sumatera Selatan
79;Pegawai 1629;English;09/06/2019;BPK Perwakilan Provinsi Gorontalo
80;Pegawai 144;English;02/04/2021;BPK Perwakilan Provinsi DI Yogyakarta
81;Pegawai 1954;English;27/04/2021;BPK Perwakilan Provinsi Aceh
82;Pegawai 399;English;13/12/2022;BPK Perwakilan Provinsi Sulawesi Tengah
83;Pegawai 1489;English;20/06/2019;BPK Perwakilan Provinsi Riau
84;Pegawai 825;English;18/10/2021;BPK Perwakilan Provinsi Jawa Tengah
85;Pegawai 301;English;18/04/2020;BPK Perwakilan Provinsi Maluku Utara
86;Pegawai 242;English;08/03/2019;BPK Perwakilan Provinsi Maluku Utara
87;Pegawai 747;English;04/11/2021;BPK Perwakilan Provinsi Kalimantan Tengah
88;Pegawai 1611;English;06/02/2022;BPK Perwakilan Provinsi Bengkulu
89;Pegawai 782;English;06/05/2019;BPK Perwakilan Provinsi Aceh
90;Pegawai 1319;English;16/05/2019;BPK Perwakilan Provinsi Sumatera Barat
91;Pegawai 1690;English;01/06/2019;BPK Perwakilan Provinsi DKI Jakarta
