pegawaidiklat_id;pegawai_nama;diklat_nama;diklat_jp;pegawai_diklat_tahun;jenis_diklat
1;Pegawai 1317;Aplikasi Teknologi Informasi dan E-Audit;17;06/09/2021;Teknis
2;Pegawai 1378;Kearsipan Tingkat Lanjut;18;27/10/2021;Teknis
3;Pegawai 1045;Penginderaan Jauh (GIS);12;20/09/2021;Teknis
4;Pegawai 721;Aspek Hukum dan Tindak Pidana Korupsi;12;19/03/2021;Teknis
5;Pegawai 1071;Keprotokolan;10;27/11/2022;Teknis
6;Pegawai 1412;Diklat Pembentukan Jabatan Fungsional Pemeriksa (JFP);12;03/04/2022;Fungsional
7;Pegawai 335;Coaching ;15;18/12/2021;Teknis
8;Pegawai 1182;Pemeriksaan Pendapatan Pajak Minerba;13;22/01/2022;Teknis
9;Pegawai 312;Monitoring dan Evaluasi Kinerja RKA (PMK 249/2011);22;02/12/2022;Teknis
10;Pegawai 1663;TABK SIMDA;19;01/08/2021;Teknis
11;Pegawai 742;Penulisan Kajian;14;12/11/2021;Teknis
12;Pegawai 1938;Penyusunan Prosedur Operasional Standar (POS);19;12/01/2021;Teknis
13;Pegawai 95;Pemeriksaan dana bergulir;17;23/06/2022;Teknis
14;Pegawai 567;Pemeriksaan pajak BUMN jasa karya;19;17/08/2021;Teknis
15;Pegawai 989;Perencanaan Pengadaan;20;13/12/2021;Teknis
16;Pegawai 737;Analisis Pemecahan Masalah;20;23/12/2021;Teknis
17;Pegawai 8;Aspek Hukum dan Tindak Pidana Korupsi;12;19/03/2021;Teknis
18;Pegawai 722;Diklat Prajabatan - Gol. II;10;04/02/2021;Pra-Jabatan
19;Pegawai 242;Hukum Pertanahan;19;11/05/2021;Teknis
20;Pegawai 1333;Change Management;10;27/10/2022;Teknis
21;Pegawai 1992;SAP dan Reviu LKPD;9;04/06/2021;Teknis
22;Pegawai 1773;Rencana Pengembangan Individu;22;01/01/2022;Teknis
23;Pegawai 1347;Public Speaking;10;21/11/2021;Teknis
24;Pegawai 1894;Kearsipan dan Kesekretariatan;17;26/04/2021;Teknis
25;Pegawai 1974;Auditor Ahli Non Akuntansi;19;02/05/2022;Fungsional
26;Pegawai 545;Lain-lain;19;26/06/2022;Teknis
27;Pegawai 1766;Pemeriksaan Pendapatan ;16;02/03/2022;Teknis
28;Pegawai 1192;Penulisan Pendapat Hukum;13;13/04/2022;Teknis
29;Pegawai 1227;Penulisan Populer dan Infografis;8;24/05/2022;Teknis
30;Pegawai 344;Pemeriksaan Aset dan Investasi;14;17/12/2021;Teknis
