skp_id;pegawai_nama;skp_nilai;skp_tahun
;Pegawai 0;77;31/12/2021
;Pegawai 1;79;31/12/2021
;Pegawai 2;77;31/12/2021
;Pegawai 3;80;31/12/2021
;Pegawai 4;91;31/12/2021
;Pegawai 5;72;31/12/2021
;Pegawai 6;75;31/12/2021
;Pegawai 7;92;31/12/2021
;Pegawai 8;98;31/12/2021
;Pegawai 9;77;31/12/2021
;Pegawai 10;91;31/12/2021
;Pegawai 11;84;31/12/2021
;Pegawai 12;75;31/12/2021
;Pegawai 13;73;31/12/2021
;Pegawai 14;97;31/12/2021
;Pegawai 15;73;31/12/2021
;Pegawai 16;83;31/12/2021
;Pegawai 17;77;31/12/2021
;Pegawai 18;92;31/12/2021
;Pegawai 19;89;31/12/2021
;Pegawai 20;71;31/12/2021
;Pegawai 21;92;31/12/2021
;Pegawai 22;86;31/12/2021
;Pegawai 23;74;31/12/2021
;Pegawai 24;76;31/12/2021
;Pegawai 25;86;31/12/2021
;Pegawai 26;87;31/12/2021
;Pegawai 27;95;31/12/2021
;Pegawai 28;93;31/12/2021
;Pegawai 29;82;31/12/2021
;Pegawai 30;85;31/12/2021
;Pegawai 31;88;31/12/2021
;Pegawai 32;95;31/12/2021
;Pegawai 33;82;31/12/2021
;Pegawai 34;95;31/12/2021
;Pegawai 35;71;31/12/2021
;Pegawai 36;92;31/12/2021
;Pegawai 37;80;31/12/2021
;Pegawai 38;99;31/12/2021
;Pegawai 39;73;31/12/2021
;Pegawai 40;71;31/12/2021
;Pegawai 41;93;31/12/2021
;Pegawai 42;99;31/12/2021
;Pegawai 43;94;31/12/2021
;Pegawai 44;82;31/12/2021
;Pegawai 45;97;31/12/2021
;Pegawai 46;78;31/12/2021
;Pegawai 47;86;31/12/2021
;Pegawai 48;75;31/12/2021
;Pegawai 49;91;31/12/2021
;Pegawai 50;95;31/12/2021
;Pegawai 51;90;31/12/2021
;Pegawai 52;84;31/12/2021
;Pegawai 53;92;31/12/2021
;Pegawai 54;79;31/12/2021
;Pegawai 55;84;31/12/2021
;Pegawai 56;83;31/12/2021
;Pegawai 57;96;31/12/2021
;Pegawai 58;85;31/12/2021
;Pegawai 59;83;31/12/2021
;Pegawai 60;92;31/12/2021
;Pegawai 61;81;31/12/2021
;Pegawai 62;79;31/12/2021
;Pegawai 63;84;31/12/2021
;Pegawai 64;71;31/12/2021
;Pegawai 65;93;31/12/2021
;Pegawai 66;92;31/12/2021
;Pegawai 67;73;31/12/2021
;Pegawai 68;86;31/12/2021
;Pegawai 69;78;31/12/2021
;Pegawai 70;80;31/12/2021
;Pegawai 71;82;31/12/2021
;Pegawai 72;76;31/12/2021
;Pegawai 73;75;31/12/2021
;Pegawai 74;78;31/12/2021
;Pegawai 75;87;31/12/2021
;Pegawai 76;75;31/12/2021
;Pegawai 77;98;31/12/2021
;Pegawai 78;72;31/12/2021
;Pegawai 79;79;31/12/2021
;Pegawai 80;82;31/12/2021
;Pegawai 81;98;31/12/2021
;Pegawai 82;75;31/12/2021
;Pegawai 83;76;31/12/2021
;Pegawai 84;75;31/12/2021
;Pegawai 85;80;31/12/2021
;Pegawai 86;92;31/12/2021
;Pegawai 87;98;31/12/2021
;Pegawai 88;74;31/12/2021
;Pegawai 89;78;31/12/2021
;Pegawai 90;77;31/12/2021
;Pegawai 91;90;31/12/2021
;Pegawai 92;76;31/12/2021
;Pegawai 93;82;31/12/2021
;Pegawai 94;91;31/12/2021
;Pegawai 95;86;31/12/2021
;Pegawai 96;76;31/12/2021
;Pegawai 97;82;31/12/2021
;Pegawai 98;97;31/12/2021
;Pegawai 99;76;31/12/2021
;Pegawai 100;80;31/12/2021
;Pegawai 101;83;31/12/2021
;Pegawai 102;78;31/12/2021
;Pegawai 103;71;31/12/2021
;Pegawai 104;82;31/12/2021
;Pegawai 105;74;31/12/2021
;Pegawai 106;72;31/12/2021
;Pegawai 107;99;31/12/2021
;Pegawai 108;93;31/12/2021
;Pegawai 109;78;31/12/2021
;Pegawai 110;75;31/12/2021
;Pegawai 111;80;31/12/2021
;Pegawai 112;79;31/12/2021
;Pegawai 113;81;31/12/2021
;Pegawai 114;80;31/12/2021
;Pegawai 115;86;31/12/2021
;Pegawai 116;75;31/12/2021
;Pegawai 117;84;31/12/2021
;Pegawai 118;88;31/12/2021
;Pegawai 119;85;31/12/2021
;Pegawai 120;70;31/12/2021
;Pegawai 121;76;31/12/2021
;Pegawai 122;90;31/12/2021
