pegawai_sertifikasi_id;pegawai_nama;sertifikasi_nama;pegawai_serti;Sertifikasi_akhir
;Pegawai 1054;Certified Procurement Specialist;12/04/2021;31/12/2029
;Pegawai 751;Certified Internal Control Auditor;26/06/2020;31/12/2029
;Pegawai 856;Governance Risk Management and Compliance Professional;03/04/2018;31/12/2029
;Pegawai 935;Certified Accounting Technician;24/03/2022;31/12/2029
;Pegawai 476;Sertifikasi Change Management;28/02/2020;31/12/2029
;Pegawai 1784;Certified Management Accountants;23/04/2020;31/12/2029
;Pegawai 1960;Certified Sustainability Practitioner;03/10/2022;31/12/2029
;Pegawai 1302;Associate Certified Public Accountant;02/02/2021;31/12/2029
;Pegawai 589;Akuntan;25/11/2018;31/12/2029
;Pegawai 1556;Chartered Accountant;12/03/2019;31/12/2029
;Pegawai 943;Governance Risk Management and Compliance Professional;23/11/2022;31/12/2029
;Pegawai 1360;Certified RIsk Associate;06/10/2021;31/12/2029
;Pegawai 796;Cellebrite Certified Physical Analyst;10/04/2020;31/12/2029
;Pegawai 1211;Certified Government Accounting Associate;17/03/2022;31/12/2029
;Pegawai 441;Certified Risk Management Officer;04/05/2021;31/12/2029
;Pegawai 905;Corporate Forensic Auditor;14/08/2019;31/12/2029
;Pegawai 756;Certified RIsk Associate;03/01/2018;31/12/2029
;Pegawai 1146;Certified Hacking Forensic Investigator;19/07/2019;31/12/2029
;Pegawai 1316;Certified Financial Planner;04/05/2018;31/12/2029
;Pegawai 587;Certified Government Accounting Associate;19/12/2018;31/12/2029
;Pegawai 1260;Certified Professional Talent Management;27/07/2020;31/12/2029
;Pegawai 839;Certified Human Resources Management Professional;04/11/2019;31/12/2029
;Pegawai 1250;Certified Contract Management Specialist;22/04/2022;31/12/2029
;Pegawai 1290;Certificate in Data Analytics;21/05/2018;31/12/2029
;Pegawai 248;Certified Corporate Coach;15/04/2022;31/12/2029
;Pegawai 622;Certified Government Chief Audit Executive;26/08/2019;31/12/2029
;Pegawai 92;Certified Accounting Technician;08/01/2020;31/12/2029
;Pegawai 370;Loop Certified Corporate Coach;04/10/2018;31/12/2029
;Pegawai 189;Certified Management Accountants;24/03/2021;31/12/2029
;Pegawai 782;Governance Risk Management and Compliance Professional;22/03/2020;31/12/2029
;Pegawai 132;Certificate in International Public Sector Accounting Standards;30/08/2019;31/12/2029
;Pegawai 895;Certificate in International Auditing;14/01/2022;31/12/2029
;Pegawai 322;Certified Human Resources Specialist;19/04/2022;31/12/2029
;Pegawai 304;Insinyur Professional Madya;25/05/2022;31/12/2029
;Pegawai 1311;Advanced Diploma in Forensic Accounting - Level 5;11/04/2022;31/12/2029
;Pegawai 1220;Cellebrite Certified Physical Analyst;14/03/2021;31/12/2029
;Pegawai 1525;Certified Sustainability Practitioner;11/05/2022;31/12/2029
