tpa_id;pegawai_nama;tpa_nilai;tpa_tahun
;Pegawai 0;772;31/12/2021
;Pegawai 1;444;31/12/2021
;Pegawai 2;708;31/12/2021
;Pegawai 3;444;31/12/2021
;Pegawai 4;549;31/12/2021
;Pegawai 5;580;31/12/2021
;Pegawai 6;426;31/12/2021
;Pegawai 7;775;31/12/2021
;Pegawai 8;489;31/12/2021
;Pegawai 9;765;31/12/2021
;Pegawai 10;526;31/12/2021
;Pegawai 11;776;31/12/2021
;Pegawai 12;517;31/12/2021
;Pegawai 13;436;31/12/2021
;Pegawai 14;425;31/12/2021
;Pegawai 15;526;31/12/2021
;Pegawai 16;501;31/12/2021
;Pegawai 17;472;31/12/2021
;Pegawai 18;606;31/12/2021
;Pegawai 19;407;31/12/2021
;Pegawai 20;624;31/12/2021
;Pegawai 21;587;31/12/2021
;Pegawai 22;692;31/12/2021
;Pegawai 23;543;31/12/2021
;Pegawai 24;650;31/12/2021
;Pegawai 25;752;31/12/2021
;Pegawai 26;708;31/12/2021
;Pegawai 27;613;31/12/2021
;Pegawai 28;709;31/12/2021
;Pegawai 29;714;31/12/2021
;Pegawai 30;793;31/12/2021
;Pegawai 31;767;31/12/2021
;Pegawai 32;427;31/12/2021
;Pegawai 33;508;31/12/2021
;Pegawai 34;539;31/12/2021
;Pegawai 35;465;31/12/2021
;Pegawai 36;564;31/12/2021
;Pegawai 37;726;31/12/2021
;Pegawai 38;483;31/12/2021
;Pegawai 39;725;31/12/2021
;Pegawai 40;443;31/12/2021
;Pegawai 41;485;31/12/2021
;Pegawai 42;418;31/12/2021
;Pegawai 43;630;31/12/2021
;Pegawai 44;773;31/12/2021
;Pegawai 45;692;31/12/2021
;Pegawai 46;541;31/12/2021
;Pegawai 47;685;31/12/2021
;Pegawai 48;554;31/12/2021
;Pegawai 49;502;31/12/2021
;Pegawai 50;448;31/12/2021
;Pegawai 51;460;31/12/2021
;Pegawai 52;681;31/12/2021
;Pegawai 53;645;31/12/2021
;Pegawai 54;696;31/12/2021
;Pegawai 55;669;31/12/2021
;Pegawai 56;579;31/12/2021
;Pegawai 57;594;31/12/2021
;Pegawai 58;584;31/12/2021
;Pegawai 59;448;31/12/2021
;Pegawai 60;422;31/12/2021
;Pegawai 61;479;31/12/2021
;Pegawai 62;774;31/12/2021
;Pegawai 63;655;31/12/2021
;Pegawai 64;476;31/12/2021
;Pegawai 65;742;31/12/2021
;Pegawai 66;664;31/12/2021
;Pegawai 67;787;31/12/2021
;Pegawai 68;700;31/12/2021
;Pegawai 69;781;31/12/2021
;Pegawai 70;466;31/12/2021
;Pegawai 71;666;31/12/2021
;Pegawai 72;669;31/12/2021
;Pegawai 73;428;31/12/2021
;Pegawai 74;785;31/12/2021
;Pegawai 75;776;31/12/2021
;Pegawai 76;482;31/12/2021
;Pegawai 77;703;31/12/2021
;Pegawai 78;702;31/12/2021
;Pegawai 79;496;31/12/2021
;Pegawai 80;414;31/12/2021
;Pegawai 81;683;31/12/2021
;Pegawai 82;690;31/12/2021
;Pegawai 83;431;31/12/2021
;Pegawai 84;734;31/12/2021
;Pegawai 85;638;31/12/2021
;Pegawai 86;647;31/12/2021
;Pegawai 87;446;31/12/2021
;Pegawai 88;404;31/12/2021
;Pegawai 89;431;31/12/2021
;Pegawai 90;706;31/12/2021
;Pegawai 91;656;31/12/2021
;Pegawai 92;623;31/12/2021
;Pegawai 93;468;31/12/2021
;Pegawai 94;607;31/12/2021
;Pegawai 95;433;31/12/2021
;Pegawai 96;601;31/12/2021
;Pegawai 97;507;31/12/2021
;Pegawai 98;624;31/12/2021
;Pegawai 99;610;31/12/2021
;Pegawai 100;638;31/12/2021
;Pegawai 101;411;31/12/2021
;Pegawai 102;533;31/12/2021
;Pegawai 103;496;31/12/2021
;Pegawai 104;717;31/12/2021
;Pegawai 105;693;31/12/2021
;Pegawai 106;529;31/12/2021
;Pegawai 107;596;31/12/2021
;Pegawai 108;536;31/12/2021
;Pegawai 109;785;31/12/2021
;Pegawai 110;745;31/12/2021
;Pegawai 111;525;31/12/2021
;Pegawai 112;733;31/12/2021
;Pegawai 113;611;31/12/2021
;Pegawai 114;720;31/12/2021
;Pegawai 115;736;31/12/2021
;Pegawai 116;450;31/12/2021
;Pegawai 117;508;31/12/2021
;Pegawai 118;780;31/12/2021
;Pegawai 119;469;31/12/2021
;Pegawai 120;477;31/12/2021
;Pegawai 121;546;31/12/2021
;Pegawai 122;459;31/12/2021
;Pegawai 123;544;31/12/2021
;Pegawai 124;692;31/12/2021
;Pegawai 125;482;31/12/2021
;Pegawai 126;505;31/12/2021
;Pegawai 127;694;31/12/2021
;Pegawai 128;589;31/12/2021
;Pegawai 129;700;31/12/2021
;Pegawai 130;768;31/12/2021
;Pegawai 131;565;31/12/2021
;Pegawai 132;471;31/12/2021
;Pegawai 133;457;31/12/2021
;Pegawai 134;403;31/12/2021
;Pegawai 135;691;31/12/2021
;Pegawai 136;548;31/12/2021
;Pegawai 137;517;31/12/2021
